Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Labels,Labels,Labels,Created,Reporter,Reporter Id,Custom field (Story Points),Custom field (Quarter Plan),Custom field (Quarter Plan),Assignee,Assignee Id,Remaining Estimate,Time Spent,Custom field (Total Work Level Hours)
Story,AWAMWRS-9163,2332445,"HK: Frontend, workflow and audit for corporate action shareholder notification",879755,ASIAPLAN-1327,HK: Automating Fund notices process / Dealing suspension,Critical,In progress,Enhancement,iFUNDS_Enhancement,WWS_Enhancement,7/23/25 15:55,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,8,2026.1,,Nick Zhang,712020:166d0b2c-d022-4480-b4dc-62b0e4209690,230400,,
Task,AWAMWRS-5600,1673770,[HK] CA send legacy-trailer-fee to ADO Secure-Inbox 2.0,1651187,AWAMWRS-5473,[HK/Lifeco/Business] Lifeco Oracle Decommission - ADO S6 Report  Delivery Process- MAM Trailer Fee Breakdown,High,In progress,,,,2/5/25 17:42,Paddy An,60467f23116c460070d87237,3,2026.1,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,115200,57600,
Story,AWAMWRS-9173,3474283,[HK/PHOENIX] Investigate and fix incorrect population of Custom Annual Income field,,,,TBD,To Do,,,,1/9/26 16:25,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,3,2026.1,,Harshini Anbazhagan,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,86400,,
Operational Support,AWAMWRS-9155,3438405,[HK] enhance CA GWAMPR_AWAM_HK_IFDF_MLY_NRD_IFLAC0001 to ignore not found PDF files,3410301,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Medium,In progress,2025_PRB_Top01,HK,,1/6/26 16:12,Paddy An,60467f23116c460070d87237,3,2026.1,,Lishan Du,62ea83001323922c61e1ff04,86400,0,
Story,AWAMWRS-9103,3386547,[HK/Phoenix] Amend the UI of Account Level Documents under edit mode of Individual Maintenance,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,TBD,In progress,Enhancement,,,12/23/25 16:34,Joan Ching,712020:3df01112-e9ff-472f-96b5-b710d9dc2c77,5,2026.1,,Faye Chen,62d070fabb346bdf82faed3a,86400,57600,
Task,AWAMWRS-9070,3336930,[SG] Incomplete data on EDL Transaction feed file,2672999,AWAMWRS-8314,[SG] KLO SG Production Fixes Q4 2025,Critical,In progress,,,,12/15/25 14:30,Renzel Jay De Jesus,712020:f455328d-9a28-47c5-8fef-0b2f2a5f8848,5,2026.1,,Oliver Liu,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,86400,144000,
Task,AWAMWRS-8919,3194432,[SG] Enhance payment details information,3194262,AWAMWRS-8913,[SG] Account opening enhancement to support M360,High,In progress,,,,11/24/25 17:56,Maximilien Garcia,632a13542eaaa5dcfa1199bf,3,2026.1,,Grant Chen,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,86400,7200,
Story,AWAMWRS-7715,2226458,[HK/BAU] Combine Daily Fund Price Sheet Reports,816918,AWAMWRS-2931,[HK] Process Revamp - Update Daily Fund Price Sheet for distributor (IF0028),Medium,To Do,Enhancement,Fund_Price,HK,7/8/25 11:59,Clara Tam,712020:03fda1fc-1266-4dd6-a4db-c86aab94f958,3,2026.1,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,86400,86400,
Task,AWAMWRS-8650,2963761,[HK/Phoenix] Technical Fix for pending tasks/historical tasks,,,,TBD,Validating,,,,10/22/25 9:51,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,3,2026.1,,Harshini Anbazhagan,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,75600,10800,
Enabler,AWAMWRS-9154,3437842,[HK] submission by 16/Jan,3170964,AWAMWRS-8858,[HK] EY IT Audit 25,High,In progress,,,,1/6/26 13:49,Paddy An,60467f23116c460070d87237,3,2026.1,,Paddy An,60467f23116c460070d87237,57600,28800,
