Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Story,AWAMWRS-7993,2406890,[HK/Phoenix] Implement Document List Read-Only Mode with Historical Data Access,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,Critical,Validating,1.0,Faye,62d070fabb346bdf82faed3a,7200.0,28800.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,1.0,7200.0,28800.0,0.25,1.0,0.25,1.0
Story,AWAMWRS-9313,3581419,[HK/Phoenix] Review the new finding about maintenance in one go from Ops UAT testing,3581294.0,AWAMWRS-9312,[HK/Phoenix] Support to including all tabs in one maintenance or tab maintenance separately,High,Done,5.0,Faye,62d070fabb346bdf82faed3a,0.0,144000.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,5.0,0.0,144000.0,0.0,5.0,0.0,5.0
Story,AWAMWRS-7994,2406898,[HK/Phoenix] Align KYC excel document list flow with Phoenix,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,TBD,Done,8.0,Faye,62d070fabb346bdf82faed3a,0.0,230400.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,8.0,0.0,144000.0,0.0,5.0,0.0,8.0
Task,AWAMWRS-9377,3633744,[HK] Get portfolio client level data double count issue,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,High,In progress,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,25200.0,43200.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,3.0,25200.0,43200.0,0.875,1.5,0.875,1.5
Task,AWAMWRS-8919,3194432,[SG] Enhance payment details information,3194262.0,AWAMWRS-8913,[SG] Account opening enhancement to support M360,High,Done,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0.0,86400.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,3.0,3600.0,90000.0,0.125,3.125,0.0,3.0
Enabler,AWAMWRS-9342,3607323,[HK] Developing a tool for the KFIN feed validation,2764924.0,AWAMWRS-8384,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading,High,Done,5.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0.0,144000.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,5.0,0.0,144000.0,0.0,5.0,0.0,5.0
Task,AWAMWRS-9332,3593566,[SG] Incorrect NAV date on the redemption page,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,High,Done,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0.0,86400.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,3.0,0.0,28800.0,0.0,1.0,0.0,3.0
Story,AWAMWRS-9173,3474283,[HK/PHOENIX] Investigate and fix incorrect population of Custom Annual Income field,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Low,Validating,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,28800.0,86400.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,3.0,28800.0,86400.0,1.0,3.0,1.0,3.0
Story,AWAMWRS-9056,3300634,[HK] WRS Phoenix - Add validation for custom net worth value.,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,TBD,Validating,2.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,14400.0,54000.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,2.0,14400.0,54000.0,0.5,1.875,0.5,1.875
Task,AWAMWRS-8650,2963761,[HK/Phoenix] Technical Fix for pending tasks/historical tasks,,,,High,Done,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,0.0,86400.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,3.0,0.0,86400.0,0.0,3.0,0.0,3.0
